Date,Price,Open,High,Low,Change %
29-05-2025,6.18,6.17,6.186,6.164,0.32%
28-05-2025,6.16,6.206,6.208,6.17,-0.65%
27-05-2025,6.2,6.209,6.209,6.202,0.00%
26-05-2025,6.2,6.214,6.225,6.203,-0.16%
23-05-2025,6.21,6.237,6.237,6.211,0.00%
22-05-2025,6.21,6.208,6.237,6.199,0.32%
21-05-2025,6.19,6.224,6.238,6.199,-0.48%
20-05-2025,6.22,6.24,6.24,6.223,-0.16%
19-05-2025,6.23,6.227,6.24,6.221,0.16%
16-05-2025,6.22,6.233,6.233,6.217,0.00%
15-05-2025,6.22,6.242,6.269,6.229,-0.18%
14-05-2025,6.231,6.259,6.271,6.228,-0.18%
13-05-2025,6.242,6.293,6.293,6.238,-0.68%
12-05-2025,6.285,6.296,6.301,6.278,-1.44%
08-05-2025,6.377,6.44,6.44,6.372,-0.28%
07-05-2025,6.395,6.337,6.404,6.31,0.92%
06-05-2025,6.337,6.367,6.367,6.33,-0.20%
05-05-2025,6.35,6.336,6.356,6.323,0.43%
04-05-2025,6.323,6.389,6.389,6.32,-0.52%
01-05-2025,6.356,6.375,6.375,6.345,-0.03%
29-04-2025,6.358,6.363,6.367,6.336,0.25%
28-04-2025,6.342,6.36,6.368,6.324,-0.28%
25-04-2025,6.36,6.331,6.375,6.324,0.63%
24-04-2025,6.32,6.328,6.359,6.316,-0.16%
23-04-2025,6.33,6.362,6.362,6.297,0.16%
22-04-2025,6.32,6.348,6.348,6.32,0.00%
21-04-2025,6.32,6.383,6.383,6.317,-0.78%
17-04-2025,6.37,6.391,6.392,6.37,-0.31%
16-04-2025,6.39,6.416,6.417,6.389,-0.31%
15-04-2025,6.41,6.407,6.423,6.407,-0.47%
11-04-2025,6.44,6.453,6.453,6.423,0.00%
09-04-2025,6.44,6.503,6.525,6.432,-0.46%
08-04-2025,6.47,6.501,6.501,6.47,-0.15%
07-04-2025,6.48,6.469,6.492,6.461,0.31%
04-04-2025,6.46,6.497,6.497,6.464,-0.62%
03-04-2025,6.5,6.469,6.501,6.461,0.31%
02-04-2025,6.48,6.545,6.545,6.482,-1.52%
28-03-2025,6.58,6.598,6.608,6.577,-0.15%
27-03-2025,6.59,6.618,6.618,6.582,-0.15%
26-03-2025,6.6,6.643,6.643,6.598,-0.45%
25-03-2025,6.63,6.646,6.646,6.621,0.15%
24-03-2025,6.62,6.643,6.643,6.626,0.00%
21-03-2025,6.62,6.645,6.645,6.617,-0.30%
20-03-2025,6.64,6.655,6.658,6.629,-0.30%
19-03-2025,6.66,6.659,6.665,6.656,-0.15%
18-03-2025,6.67,6.698,6.698,6.669,-0.30%
17-03-2025,6.69,6.702,6.702,6.687,0.00%
13-03-2025,6.69,6.696,6.698,6.68,0.15%
12-03-2025,6.68,6.703,6.703,6.678,-0.15%
11-03-2025,6.69,6.717,6.717,6.687,-0.15%
10-03-2025,6.7,6.714,6.714,6.687,0.30%
07-03-2025,6.68,6.682,6.69,6.682,0.00%
06-03-2025,6.68,6.686,6.694,6.68,-0.45%
05-03-2025,6.71,6.757,6.757,6.709,-0.45%
04-03-2025,6.74,6.736,6.745,6.721,0.15%
03-03-2025,6.73,6.789,6.789,6.729,0.15%
28-02-2025,6.72,6.709,6.731,6.706,0.15%
27-02-2025,6.71,6.7,6.712,6.699,0.06%
25-02-2025,6.706,6.699,6.709,6.695,0.09%
24-02-2025,6.7,6.696,6.707,6.693,-0.12%
21-02-2025,6.708,6.703,6.714,6.701,0.07%
20-02-2025,6.703,6.682,6.705,6.68,0.31%
18-02-2025,6.682,6.7,6.7,6.68,-0.15%
17-02-2025,6.692,6.694,6.694,6.687,-0.19%
14-02-2025,6.705,6.709,6.71,6.699,-0.10%
13-02-2025,6.712,6.723,6.723,6.699,0.22%
12-02-2025,6.697,6.71,6.71,6.693,0.00%
11-02-2025,6.697,6.688,6.699,6.685,-0.24%
10-02-2025,6.713,6.717,6.728,6.709,0.21%
07-02-2025,6.699,6.668,6.71,6.652,0.63%
06-02-2025,6.657,6.649,6.659,6.649,-0.11%
05-02-2025,6.664,6.674,6.674,6.653,-0.12%
04-02-2025,6.672,6.68,6.68,6.666,0.03%
03-02-2025,6.67,6.703,6.709,6.659,-0.36%
31-01-2025,6.694,6.696,6.7,6.68,0.24%
30-01-2025,6.678,6.701,6.701,6.675,-0.07%
29-01-2025,6.683,6.7,6.702,6.673,0.03%
28-01-2025,6.681,6.646,6.69,6.631,0.09%
27-01-2025,6.675,6.672,6.681,6.666,-0.67%
24-01-2025,6.72,6.717,6.726,6.709,-0.24%
23-01-2025,6.736,6.738,6.738,6.718,0.25%
22-01-2025,6.719,6.745,6.745,6.716,-0.22%
21-01-2025,6.734,6.754,6.754,6.729,-0.43%
20-01-2025,6.763,6.78,6.78,6.758,-0.16%
17-01-2025,6.774,6.745,6.78,6.743,0.30%
16-01-2025,6.754,6.788,6.788,6.749,-0.87%
15-01-2025,6.813,6.838,6.838,6.804,-0.23%
14-01-2025,6.829,6.852,6.869,6.821,-0.20%
13-01-2025,6.843,6.795,6.852,6.792,1.09%
10-01-2025,6.769,6.773,6.773,6.757,0.07%
09-01-2025,6.764,6.773,6.782,6.762,-0.04%
08-01-2025,6.767,6.76,6.77,6.739,0.31%
07-01-2025,6.746,6.755,6.757,6.731,-0.25%
06-01-2025,6.763,6.788,6.79,6.75,-0.24%
03-01-2025,6.779,6.8,6.8,6.778,-0.12%
02-01-2025,6.787,6.801,6.801,6.782,0.12%
01-01-2025,6.779,6.774,6.782,6.773,0.30%
